Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc,semestre,city,compr_medio,loc_medio
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,D,D4,FI00000235,20,Abitazioni civili,NORMALE,P,2300,3200,L,7.1,9.9,L,2023_1,Firenze,2750.0,8.5
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,D,D6,FI00000237,20,Abitazioni civili,NORMALE,P,1700,2250,L,5.6,7.5,L,2023_1,Firenze,1975.0,6.55
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,D,D7,FI00000238,20,Abitazioni civili,NORMALE,P,1800,2300,L,6.8,8.7,L,2023_1,Firenze,2050.0,7.75
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,E,E1,FI00000244,20,Abitazioni civili,NORMALE,P,2100,2650,L,6.7,8.5,L,2023_1,Firenze,2375.0,7.6
CENTRO,TOSCANA,FI,9048001,I1AB, ,A564,BAGNO A RIPOLI,B,B1,FI00000575,20,Abitazioni civili,NORMALE,P,2200,3000,L,6.0,8.2,L,2023_1,Firenze,2600.0,7.1
CENTRO,TOSCANA,FI,9048001,I1AB, ,A564,BAGNO A RIPOLI,D,D4,FI00001659,20,Abitazioni civili,NORMALE,P,2150,2950,L,6.1,8.4,L,2023_1,Firenze,2550.0,7.25
CENTRO,TOSCANA,FI,9048001,I1AB, ,A564,BAGNO A RIPOLI,E,E4,FI00001655,20,Abitazioni civili,NORMALE,P,2000,2600,L,5.7,7.4,L,2023_1,Firenze,2300.0,6.550000000000001
CENTRO,TOSCANA,FI,9048001,I1AB, ,A564,BAGNO A RIPOLI,E,E5,FI00001657,20,Abitazioni civili,NORMALE,P,1850,2550,L,5.6,7.7,L,2023_1,Firenze,2200.0,6.65
CENTRO,TOSCANA,FI,9048001,I1AB, ,A564,BAGNO A RIPOLI,R,R1,FI00001660,20,Abitazioni civili,NORMALE,P,1800,2650,L,4.9,7.2,L,2023_1,Firenze,2225.0,6.050000000000001
CENTRO,TOSCANA,FI,9048002,I1AC, ,A632,BARBERINO DI MUGELLO,B,B1,FI00000777,20,Abitazioni civili,NORMALE,P,1250,1850,L,4.0,6.0,L,2023_1,Firenze,1550.0,5.0
CENTRO,TOSCANA,FI,9048002,I1AC, ,A632,BARBERINO DI MUGELLO,D,D2,FI00001595,20,Abitazioni civili,NORMALE,P,1300,1800,L,4.3,6.0,L,2023_1,Firenze,1550.0,5.15
CENTRO,TOSCANA,FI,9048002,I1AC, ,A632,BARBERINO DI MUGELLO,E,E2,FI00001454,20,Abitazioni civili,NORMALE,P,1100,1500,L,3.7,5.0,L,2023_1,Firenze,1300.0,4.35
CENTRO,TOSCANA,FI,9048002,I1AC, ,A632,BARBERINO DI MUGELLO,R,R1,FI00001475,20,Abitazioni civili,NORMALE,P,900,1300,L,2.8,4.1,L,2023_1,Firenze,1100.0,3.4499999999999997
CENTRO,TOSCANA,FI,9048002,I1AC, ,A632,BARBERINO DI MUGELLO,R,R2,FI00001452,20,Abitazioni civili,NORMALE,P,1000,1500,L,3.3,4.9,L,2023_1,Firenze,1250.0,4.1
CENTRO,TOSCANA,FI,9048004,I1AE, ,B036,BORGO SAN LORENZO,B,B2,FI00001435,20,Abitazioni civili,NORMALE,P,1400,1750,L,4.4,5.5,L,2023_1,Firenze,1575.0,4.95
CENTRO,TOSCANA,FI,9048004,I1AE, ,B036,BORGO SAN LORENZO,E,E3,FI00001436,20,Abitazioni civili,NORMALE,P,1200,1650,L,4.0,5.5,L,2023_1,Firenze,1425.0,4.75
CENTRO,TOSCANA,FI,9048004,I1AE, ,B036,BORGO SAN LORENZO,E,E4,FI00001437,20,Abitazioni civili,NORMALE,P,1250,1700,L,4.1,5.6,L,2023_1,Firenze,1475.0,4.85
CENTRO,TOSCANA,FI,9048004,I1AE, ,B036,BORGO SAN LORENZO,R,R1,FI00001438,20,Abitazioni civili,NORMALE,P,1200,1700,L,3.9,5.5,L,2023_1,Firenze,1450.0,4.7
CENTRO,TOSCANA,FI,9048004,I1AE, ,B036,BORGO SAN LORENZO,R,R2,FI00001440,20,Abitazioni civili,NORMALE,P,1100,1600,L,3.5,5.1,L,2023_1,Firenze,1350.0,4.3
CENTRO,TOSCANA,FI,9048004,I1AE, ,B036,BORGO SAN LORENZO,R,R3,FI00001441,20,Abitazioni civili,NORMALE,P,700,1000,L,2.3,3.3,L,2023_1,Firenze,850.0,2.8
CENTRO,TOSCANA,FI,9048005,I1AG, ,B406,CALENZANO,B,B2,FI00001255,20,Abitazioni civili,NORMALE,P,1950,2600,L,6.4,8.6,L,2023_1,Firenze,2275.0,7.5
CENTRO,TOSCANA,FI,9048005,I1AG, ,B406,CALENZANO,D,D3,FI00001256,20,Abitazioni civili,NORMALE,P,1900,2700,L,6.6,9.4,L,2023_1,Firenze,2300.0,8.0
CENTRO,TOSCANA,FI,9048005,I1AG, ,B406,CALENZANO,E,E2,FI00001258,20,Abitazioni civili,NORMALE,P,1850,2550,L,6.3,8.7,L,2023_1,Firenze,2200.0,7.5
CENTRO,TOSCANA,FI,9048005,I1AG, ,B406,CALENZANO,R,R1,FI00001259,20,Abitazioni civili,NORMALE,P,1600,2400,L,5.6,8.3,L,2023_1,Firenze,2000.0,6.95
CENTRO,TOSCANA,FI,9048006,I1AH, ,B507,CAMPI BISENZIO,B,B1,FI00000615,20,Abitazioni civili,NORMALE,P,2000,2350,L,7.0,8.2,L,2023_1,Firenze,2175.0,7.6
CENTRO,TOSCANA,FI,9048006,I1AH, ,B507,CAMPI BISENZIO,E,E1,FI00000616,20,Abitazioni civili,NORMALE,P,1700,2350,L,5.9,8.1,L,2023_1,Firenze,2025.0,7.0
CENTRO,TOSCANA,FI,9048006,I1AH, ,B507,CAMPI BISENZIO,E,E2,FI00000617,20,Abitazioni civili,NORMALE,P,1850,2500,L,6.4,8.6,L,2023_1,Firenze,2175.0,7.5
CENTRO,TOSCANA,FI,9048006,I1AH, ,B507,CAMPI BISENZIO,E,E3,FI00000618,20,Abitazioni civili,NORMALE,P,1750,2300,L,5.9,7.8,L,2023_1,Firenze,2025.0,6.85
CENTRO,TOSCANA,FI,9048006,I1AH, ,B507,CAMPI BISENZIO,R,R1,FI00001355,20,Abitazioni civili,NORMALE,P,1800,2400,L,6.6,8.8,L,2023_1,Firenze,2100.0,7.7
CENTRO,TOSCANA,FI,9048008,I1AJ, ,B684,CAPRAIA E LIMITE,B,B1,FI00000675,20,Abitazioni civili,NORMALE,P,1350,2000,L,4.1,6.1,L,2023_1,Firenze,1675.0,5.1
CENTRO,TOSCANA,FI,9048008,I1AJ, ,B684,CAPRAIA E LIMITE,B,B2,FI00000677,20,Abitazioni civili,NORMALE,P,1400,2100,L,4.4,6.6,L,2023_1,Firenze,1750.0,5.5
CENTRO,TOSCANA,FI,9048008,I1AJ, ,B684,CAPRAIA E LIMITE,R,R1,FI00001319,20,Abitazioni civili,NORMALE,P,1150,1700,L,3.5,5.2,L,2023_1,Firenze,1425.0,4.35
CENTRO,TOSCANA,FI,9048041,I1AL, ,B962,SCANDICCI,B,B2,FI00001201,20,Abitazioni civili,NORMALE,P,2150,2650,L,7.5,9.2,L,2023_1,Firenze,2400.0,8.35
CENTRO,TOSCANA,FI,9048041,I1AL, ,B962,SCANDICCI,B,B3,FI00001200,20,Abitazioni civili,NORMALE,P,2100,2800,L,7.8,9.8,L,2023_1,Firenze,2450.0,8.8
CENTRO,TOSCANA,FI,9048041,I1AL, ,B962,SCANDICCI,B,B4,FI00001202,20,Abitazioni civili,NORMALE,P,2100,2800,L,8.4,9.8,L,2023_1,Firenze,2450.0,9.100000000000001
CENTRO,TOSCANA,FI,9048041,I1AL, ,B962,SCANDICCI,D,D2,FI00001203,20,Abitazioni civili,NORMALE,P,1850,2500,L,6.2,8.4,L,2023_1,Firenze,2175.0,7.300000000000001
CENTRO,TOSCANA,FI,9048041,I1AL, ,B962,SCANDICCI,E,E3,FI00001205,20,Abitazioni civili,NORMALE,P,2000,2550,L,6.7,8.6,L,2023_1,Firenze,2275.0,7.65
CENTRO,TOSCANA,FI,9048041,I1AL, ,B962,SCANDICCI,R,R1,FI00001206,20,Abitazioni civili,NORMALE,P,2000,2800,L,6.0,8.4,L,2023_1,Firenze,2400.0,7.2
CENTRO,TOSCANA,FI,9048041,I1AL, ,B962,SCANDICCI,R,R2,FI00001207,20,Abitazioni civili,NORMALE,P,1500,2200,L,4.7,6.9,L,2023_1,Firenze,1850.0,5.800000000000001
CENTRO,TOSCANA,FI,9048010,I1AM, ,C101,CASTELFIORENTINO,B,B3,FI00001695,20,Abitazioni civili,NORMALE,P,950,1400,L,3.4,5.0,L,2023_1,Firenze,1175.0,4.2
CENTRO,TOSCANA,FI,9048010,I1AM, ,C101,CASTELFIORENTINO,R,R1,FI00001397,20,Abitazioni civili,NORMALE,P,950,1350,L,3.3,4.7,L,2023_1,Firenze,1150.0,4.0
CENTRO,TOSCANA,FI,9048011,I1AN, ,C529,CERRETO GUIDI,B,B2,FI00001478,20,Abitazioni civili,NORMALE,P,1050,1550,L,3.3,4.9,L,2023_1,Firenze,1300.0,4.1
CENTRO,TOSCANA,FI,9048011,I1AN, ,C529,CERRETO GUIDI,E,E1,FI00000257,20,Abitazioni civili,NORMALE,P,1000,1400,L,3.3,4.6,L,2023_1,Firenze,1200.0,3.9499999999999997
CENTRO,TOSCANA,FI,9048011,I1AN, ,C529,CERRETO GUIDI,E,E3,FI00000259,20,Abitazioni civili,NORMALE,P,1050,1550,L,3.6,5.3,L,2023_1,Firenze,1300.0,4.45
CENTRO,TOSCANA,FI,9048011,I1AN, ,C529,CERRETO GUIDI,R,R1,FI00001479,20,Abitazioni civili,NORMALE,P,950,1400,L,3.1,4.6,L,2023_1,Firenze,1175.0,3.8499999999999996
CENTRO,TOSCANA,FI,9048012,I1AP, ,C540,CERTALDO,B,B2,FI00001076,20,Abitazioni civili,NORMALE,P,1400,2100,L,4.5,6.5,L,2023_1,Firenze,1750.0,5.5
CENTRO,TOSCANA,FI,9048012,I1AP, ,C540,CERTALDO,B,B3,FI00001715,20,Abitazioni civili,NORMALE,P,1000,1450,L,3.4,4.9,L,2023_1,Firenze,1225.0,4.15
CENTRO,TOSCANA,FI,9048012,I1AP, ,C540,CERTALDO,R,R1,FI00001716,20,Abitazioni civili,NORMALE,P,950,1400,L,3.3,4.9,L,2023_1,Firenze,1175.0,4.1
CENTRO,TOSCANA,FI,9048013,I1AQ, ,D299,DICOMANO,B,B1,FI00000519,20,Abitazioni civili,NORMALE,P,950,1400,L,3.4,5.0,L,2023_1,Firenze,1175.0,4.2
CENTRO,TOSCANA,FI,9048013,I1AQ, ,D299,DICOMANO,R,R1,FI00001577,20,Abitazioni civili,NORMALE,P,950,1400,L,3.1,4.6,L,2023_1,Firenze,1175.0,3.8499999999999996
CENTRO,TOSCANA,FI,9048014,I1AR, ,D403,EMPOLI,B,B1,FI00000081,20,Abitazioni civili,NORMALE,P,1750,2150,L,5.5,7.7,L,2023_1,Firenze,1950.0,6.6
CENTRO,TOSCANA,FI,9048014,I1AR, ,D403,EMPOLI,D,D3,FI00001398,20,Abitazioni civili,NORMALE,P,1600,1900,L,4.2,5.0,L,2023_1,Firenze,1750.0,4.6
CENTRO,TOSCANA,FI,9048014,I1AR, ,D403,EMPOLI,D,D4,FI00001400,20,Abitazioni civili,NORMALE,P,1550,2200,L,4.9,7.0,L,2023_1,Firenze,1875.0,5.95
CENTRO,TOSCANA,FI,9048014,I1AR, ,D403,EMPOLI,D,D5,FI00001399,20,Abitazioni civili,NORMALE,P,1500,2100,L,4.4,6.2,L,2023_1,Firenze,1800.0,5.300000000000001
CENTRO,TOSCANA,FI,9048014,I1AR, ,D403,EMPOLI,E,E2,FI00001401,20,Abitazioni civili,NORMALE,P,1250,1850,L,3.8,5.6,L,2023_1,Firenze,1550.0,4.699999999999999
CENTRO,TOSCANA,FI,9048014,I1AR, ,D403,EMPOLI,R,R1,FI00001415,20,Abitazioni civili,NORMALE,P,1200,1750,L,3.6,5.3,L,2023_1,Firenze,1475.0,4.45
CENTRO,TOSCANA,FI,9048015,I1AS, ,D575,FIESOLE,B,B2,FI00001241,20,Abitazioni civili,NORMALE,P,2250,3300,L,6.1,8.9,L,2023_1,Firenze,2775.0,7.5
CENTRO,TOSCANA,FI,9048015,I1AS, ,D575,FIESOLE,B,B3,FI00001242,20,Abitazioni civili,NORMALE,P,2500,3500,L,7.1,9.9,L,2023_1,Firenze,3000.0,8.5
CENTRO,TOSCANA,FI,9048015,I1AS, ,D575,FIESOLE,D,D1,FI00000090,20,Abitazioni civili,NORMALE,P,2350,3200,L,6.6,9.0,L,2023_1,Firenze,2775.0,7.8
CENTRO,TOSCANA,FI,9048015,I1AS, ,D575,FIESOLE,E,E1,FI00001235,20,Abitazioni civili,NORMALE,P,2200,2850,L,6.2,8.0,L,2023_1,Firenze,2525.0,7.1
CENTRO,TOSCANA,FI,9048015,I1AS, ,D575,FIESOLE,E,E2,FI00001236,20,Abitazioni civili,NORMALE,P,2000,2750,L,5.8,8.0,L,2023_1,Firenze,2375.0,6.9
CENTRO,TOSCANA,FI,9048015,I1AS, ,D575,FIESOLE,E,E3,FI00001237,20,Abitazioni civili,NORMALE,P,2050,2650,L,5.9,7.7,L,2023_1,Firenze,2350.0,6.800000000000001
CENTRO,TOSCANA,FI,9048015,I1AS, ,D575,FIESOLE,E,E4,FI00001238,20,Abitazioni civili,NORMALE,P,1800,2500,L,5.7,7.9,L,2023_1,Firenze,2150.0,6.800000000000001
CENTRO,TOSCANA,FI,9048015,I1AS, ,D575,FIESOLE,E,E5,FI00001239,20,Abitazioni civili,NORMALE,P,1850,2650,L,5.7,8.2,L,2023_1,Firenze,2250.0,6.949999999999999
CENTRO,TOSCANA,FI,9048015,I1AS, ,D575,FIESOLE,R,R1,FI00001240,20,Abitazioni civili,NORMALE,P,1850,2700,L,5.6,8.2,L,2023_1,Firenze,2275.0,6.8999999999999995
CENTRO,TOSCANA,FI,9048018,I1AU, ,D613,FIRENZUOLA,B,B1,FI00000284,20,Abitazioni civili,NORMALE,P,800,1150,L,2.8,4.0,L,2023_1,Firenze,975.0,3.4
CENTRO,TOSCANA,FI,9048018,I1AU, ,D613,FIRENZUOLA,R,R1,FI00001480,20,Abitazioni civili,NORMALE,P,500,700,L,1.8,2.5,L,2023_1,Firenze,600.0,2.15
CENTRO,TOSCANA,FI,9048019,I1AV, ,D815,FUCECCHIO,B,B3,FI00001675,20,Abitazioni civili,NORMALE,P,950,1300,L,3.3,4.5,L,2023_1,Firenze,1125.0,3.9
CENTRO,TOSCANA,FI,9048019,I1AV, ,D815,FUCECCHIO,E,E2,FI00001408,20,Abitazioni civili,NORMALE,P,1100,1600,L,3.8,5.6,L,2023_1,Firenze,1350.0,4.699999999999999
CENTRO,TOSCANA,FI,9048019,I1AV, ,D815,FUCECCHIO,R,R1,FI00001407,20,Abitazioni civili,NORMALE,P,1000,1500,L,3.4,5.1,L,2023_1,Firenze,1250.0,4.25
CENTRO,TOSCANA,FI,9048020,I1AX, ,D895,GAMBASSI TERME,B,B1,FI00000310,20,Abitazioni civili,NORMALE,P,1000,1500,L,3.4,5.1,L,2023_1,Firenze,1250.0,4.25
CENTRO,TOSCANA,FI,9048020,I1AX, ,D895,GAMBASSI TERME,R,R1,FI00001451,20,Abitazioni civili,NORMALE,P,1200,1800,L,4.2,6.3,L,2023_1,Firenze,1500.0,5.25
