Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc,semestre,city,compr_medio,loc_medio
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,20,Abitazioni civili,NORMALE,P,3200,4900,L,11.5,17.0,L,2023_1,Milano,4050.0,14.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,20,Abitazioni civili,NORMALE,P,3600,4800,L,9.0,13.0,L,2023_1,Milano,4200.0,11.0
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,20,Abitazioni civili,OTTIMO, ,4900,7500,L,13.1,22.0,L,2023_1,Milano,6200.0,17.55
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,20,Abitazioni civili,OTTIMO, ,6000,8500,L,15.6,23.5,L,2023_1,Milano,7250.0,19.55
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,20,Abitazioni civili,NORMALE,P,4500,5900,L,12.0,15.5,L,2023_1,Milano,5200.0,13.75
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,20,Abitazioni civili,OTTIMO, ,5700,7800,L,16.6,24.0,L,2023_1,Milano,6750.0,20.3
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,20,Abitazioni civili,NORMALE,P,3900,5600,L,11.5,16.5,L,2023_1,Milano,4750.0,14.0
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,20,Abitazioni civili,NORMALE,P,3800,5000,L,11.0,15.5,L,2023_1,Milano,4400.0,13.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C19,MI00004775,20,Abitazioni civili,OTTIMO, ,5100,7000,L,15.6,23.0,L,2023_1,Milano,6050.0,19.3
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C20,MI00004776,20,Abitazioni civili,OTTIMO, ,5600,8300,L,15.3,24.0,L,2023_1,Milano,6950.0,19.65
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C20,MI00004776,20,Abitazioni civili,NORMALE,P,3700,5500,L,10.2,15.2,L,2023_1,Milano,4600.0,12.7
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D10,MI00000317,20,Abitazioni civili,NORMALE,P,2000,3400,L,6.8,11.5,L,2023_1,Milano,2700.0,9.15
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D10,MI00000317,20,Abitazioni civili,OTTIMO, ,3500,4500,L,11.6,16.0,L,2023_1,Milano,4000.0,13.8
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D12,MI00000319,20,Abitazioni civili,NORMALE,P,3200,5000,L,8.5,14.0,L,2023_1,Milano,4100.0,11.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D12,MI00000319,20,Abitazioni civili,OTTIMO, ,5100,7400,L,14.1,22.0,L,2023_1,Milano,6250.0,18.05
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D13,MI00000320,20,Abitazioni civili,OTTIMO, ,3500,4500,L,11.1,15.0,L,2023_1,Milano,4000.0,13.05
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D13,MI00000320,20,Abitazioni civili,NORMALE,P,2400,3400,L,7.7,11.0,L,2023_1,Milano,2900.0,9.35
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D15,MI00000322,20,Abitazioni civili,NORMALE,P,2100,3300,L,6.5,10.0,L,2023_1,Milano,2700.0,8.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D15,MI00000322,20,Abitazioni civili,OTTIMO, ,3400,4400,L,10.1,14.5,L,2023_1,Milano,3900.0,12.3
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D16,MI00000323,20,Abitazioni civili,OTTIMO, ,4000,5800,L,12.0,17.5,L,2023_1,Milano,4900.0,14.75
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D16,MI00000323,20,Abitazioni civili,NORMALE,P,2800,3900,L,8.0,11.8,L,2023_1,Milano,3350.0,9.9
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D18,MI00000325,20,Abitazioni civili,OTTIMO, ,3200,4700,L,11.1,15.0,L,2023_1,Milano,3950.0,13.05
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D18,MI00000325,20,Abitazioni civili,NORMALE,P,2100,3100,L,6.5,11.0,L,2023_1,Milano,2600.0,8.75
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D20,MI00000327,20,Abitazioni civili,OTTIMO, ,3900,5500,L,12.0,17.5,L,2023_1,Milano,4700.0,14.75
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D20,MI00000327,20,Abitazioni civili,NORMALE,P,2700,3800,L,7.3,11.9,L,2023_1,Milano,3250.0,9.6
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D21,MI00000328,20,Abitazioni civili,OTTIMO, ,3500,4800,L,12.3,17.0,L,2023_1,Milano,4150.0,14.65
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D21,MI00000328,20,Abitazioni civili,NORMALE,P,2200,3400,L,8.2,12.2,L,2023_1,Milano,2800.0,10.2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D24,MI00000331,20,Abitazioni civili,OTTIMO, ,4100,5900,L,13.4,19.5,L,2023_1,Milano,5000.0,16.45
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D24,MI00000331,20,Abitazioni civili,NORMALE,P,2400,4000,L,8.5,13.3,L,2023_1,Milano,3200.0,10.9
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D25,MI00000332,20,Abitazioni civili,OTTIMO, ,3600,4300,L,11.3,15.5,L,2023_1,Milano,3950.0,13.4
