Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 05-MAR-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C15;FI00001178;20;Abitazioni civili;NORMALE;P;2400;2950;L;7;10,5;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C15;FI00001178;21;Abitazioni di tipo economico;NORMALE;P;2050;2600;L;6,5;9,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C15;FI00001178;13;Box;NORMALE;P;1400;2100;L;5,4;8,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C15;FI00001178;9;Magazzini;NORMALE;P;800;1300;L;4,4;7,2;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C15;FI00001178;5;Negozi;NORMALE;P;1250;2400;L;5,8;11,2;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C15;FI00001178;6;Uffici;NORMALE;P;1500;2400;L;5,4;8,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C15;FI00001178;10;Laboratori;NORMALE;P;750;1400;L;3,7;6,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C16;FI00011584;20;Abitazioni civili;NORMALE;P;2500;3100;L;8,3;10,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C16;FI00011584;21;Abitazioni di tipo economico;NORMALE;P;2150;2650;L;7,3;9,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C16;FI00011584;13;Box;NORMALE;P;1400;2100;L;5;7,5;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C16;FI00011584;1;Ville e Villini;NORMALE;P;2500;3600;L;7,5;10,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C16;FI00011584;9;Magazzini;NORMALE;P;600;1200;L;2,9;5,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C16;FI00011584;5;Negozi;NORMALE;P;1250;2500;L;5,9;11,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C16;FI00011584;6;Uffici;NORMALE;P;1500;2500;L;5,3;8,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C16;FI00011584;10;Laboratori;NORMALE;P;800;1550;L;3,8;7,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C17;FI00012054;20;Abitazioni civili;NORMALE;P;3200;4300;L;9,1;12,2;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C17;FI00012054;13;Box;NORMALE;P;2200;3100;L;7,7;10,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C17;FI00012054;1;Ville e Villini;NORMALE;P;3400;5100;L;10,5;15,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C18;FI00012055;20;Abitazioni civili;NORMALE;P;2700;4000;L;9,2;13,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C18;FI00012055;13;Box;NORMALE;P;2200;3300;L;8,4;12,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C18;FI00012055;1;Ville e Villini;NORMALE;P;3700;5400;L;11,7;17,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C19;FI00012064;20;Abitazioni civili;NORMALE;P;2600;3400;L;9,3;12;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C19;FI00012064;21;Abitazioni di tipo economico;NORMALE;P;2000;2700;L;6,7;9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C19;FI00012064;13;Box;NORMALE;P;1800;2700;L;7,4;11;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C19;FI00012064;1;Ville e Villini;NORMALE;P;2900;4000;L;8,9;12,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C19;FI00012064;9;Magazzini;NORMALE;P;800;1600;L;3,9;7,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C19;FI00012064;5;Negozi;NORMALE;P;1500;2500;L;6,6;11;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C19;FI00012064;6;Uffici;NORMALE;P;1400;2600;L;5;9,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C19;FI00012064;10;Laboratori;NORMALE;P;800;1600;L;3,8;7,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C2;FI00000027;20;Abitazioni civili;NORMALE;P;2350;3100;L;9,5;13,5;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C2;FI00000027;21;Abitazioni di tipo economico;NORMALE;P;1950;2550;L;6,8;8,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C2;FI00000027;13;Box;NORMALE;P;1800;2700;L;6,6;9,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C2;FI00000027;9;Magazzini;NORMALE;P;800;1600;L;3,9;7,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C2;FI00000027;5;Negozi;NORMALE;P;1300;2200;L;9;15;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C2;FI00000027;6;Uffici;NORMALE;P;1600;2800;L;5,9;10,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C2;FI00000027;10;Laboratori;NORMALE;P;900;1500;L;4,3;7,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C3;FI00000028;20;Abitazioni civili;NORMALE;P;2450;3100;L;10,5;13,5;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C3;FI00000028;21;Abitazioni di tipo economico;NORMALE;P;1800;2550;L;6,5;9,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C3;FI00000028;13;Box;NORMALE;P;1850;2750;L;6,9;10,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C3;FI00000028;9;Magazzini;NORMALE;P;750;1500;L;3,7;7,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C3;FI00000028;5;Negozi;NORMALE;P;1350;2100;L;6,6;10,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C3;FI00000028;6;Uffici;NORMALE;P;1600;2700;L;5,9;9,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C3;FI00000028;10;Laboratori;NORMALE;P;900;1550;L;4,3;7,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C4;FI00000228;20;Abitazioni civili;NORMALE;P;2550;3100;L;9,5;12,5;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C4;FI00000228;21;Abitazioni di tipo economico;NORMALE;P;2000;2800;L;6;8,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C4;FI00000228;13;Box;NORMALE;P;2100;3100;L;8,1;11,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C4;FI00000228;9;Magazzini;NORMALE;P;800;1500;L;3,8;7,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C4;FI00000228;5;Negozi;NORMALE;P;1350;2300;L;6,5;11,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C4;FI00000228;6;Uffici;NORMALE;P;1500;2700;L;5,1;9,2;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C4;FI00000228;10;Laboratori;NORMALE;P;900;1500;L;4,3;7,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C5;FI00000229;20;Abitazioni civili;NORMALE;P;2700;3400;L;9,5;13;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C5;FI00000229;21;Abitazioni di tipo economico;NORMALE;P;2200;2900;L;6,1;8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C5;FI00000229;13;Box;NORMALE;P;2150;3200;L;8,2;12,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C5;FI00000229;1;Ville e Villini;NORMALE;P;3100;3900;L;9,6;12;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C5;FI00000229;9;Magazzini;NORMALE;P;800;1600;L;3,9;7,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C5;FI00000229;5;Negozi;NORMALE;P;1400;2550;L;6,8;12,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C5;FI00000229;6;Uffici;NORMALE;P;1800;3000;L;6;10;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C5;FI00000229;10;Laboratori;NORMALE;P;800;1400;L;3,8;6,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C6;FI00000230;20;Abitazioni civili;NORMALE;P;2800;3400;L;9,5;13;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C6;FI00000230;21;Abitazioni di tipo economico;NORMALE;P;2200;2850;L;6,4;8,3;L;
